;nbChr50-nbStep10;nbChr50-nbStep10-1;nbChr50-nbStep10-2;nbChr2000-nbStep300;nbChr2000-nbStep300-4;nbChr5000-nbStep100
A;0.0252090623489;0.000633572632993;0.0176635338737;0.0137707911523;0.0240264261499;0.0182233155093
B;1.54408206437;2.82067359552;2.13022659726;2.22013261824;2.67900296791;2.69342476
C;0.256590522485;0.0671459199999;0.495257347318;0.0616944315392;0.0240704281656;0.0887258730612
D;0.251896496776;-0.0944357160075;1.15139391158;-0.607496522008;-0.18827141043;-0.277537251903
E;0.597382201745;1.20878693368;-0.403444084254;2.94516917166;0.892239702522;1.15980882523
F;0.629111232897;0.635021663081;0.702628237795;0.70191375191;1.8293026729;1.97334612853
G;0.307331073463;0.0350764141242;0.135173543714;0.268497898062;0.695135976158;0.597295933854
H;0.308439631849;-0.808279527178;0.433296168391;0.380097799841;0.835270771032;0.415207292376
I-1;2.33359583549;0.118931685509;2.87743641768;4.83265832698;1.44885734144;1.24511367251
I-2;3.54754866418;1.82363186206;2.40958889438;-0.624776697137;-0.890496537958;-0.979389940464
I0;4.10885276538;2.80376349513;3.89602326784;3.83477406735;3.81371808821;4.79381642221
I1;3.58185129679;1.59385807898;1.84764569306;4.15494814423;4.85176386461;4.73932192543
I2;1.4304242171;3.10089976427;2.37394745441;1.66296138791;2.68617120958;2.89668780177
I3;2.24628745932;0.989517595155;2.02086168517;0.845931370436;1.0143575713;1.1420627687
I4;1.49923083211;1.25435977082;2.45538276765;0.905321670781;1.08625031703;1.12019759588
J;2.91086160482;3.45191606124;1.23466909465;0.0192994067796;0.608045271905;0.618249875096
K0;0.139978797447;1.80837386;-0.0284133117766;1.9659796441;-0.77640682198;2.80467274346
K1;-0.486398536718;1.89713954095;2.69186260554;-0.351097691239;-0.0579654474267;0.349995966253
K2;0.211193054788;-0.359493158251;0.848487534577;1.81664570244;0.836187473417;2.11143710606
L;0.515823427591;0.698252894493;-0.758014440618;0.934462957158;-0.787115644587;-0.36735076587
M;0.41417848841;2.71534571779;0.520848445251;-0.933208407174;2.79970444153;0.399045226512
N;3.51245620846;4.02382006943;2.68567356636;3.33172688287;3.33938124299;4.672793527
